Scoop up water	㧾水
You mean to say you're really going to do it like that?	唔通你真係會咁做喎？
If he doesn't like it then don't force him to eat it.	唔鍾意就唔好焗佢食。
If you don't like to eat it, then throw it away.	唔鍾意食就擗咗佢囉。
It's okay not to take the medicine orally, so get an injection then!	唔食藥都得，啪針囉！
Yes, right, then it's like that.	唔，係喇，就係噉喇。
The more angry people got the more they said he's disgusting.	啲人愈鬧愈話佢PK。
The students go to school carrying schoolbags on their backs.	啲學生孭住書包返學。
The young people like to enjoy life.	啲後生仔鍾意歎世界。
A goodly amount of lumber was stolen.	啲木料俾人鼠咗唔少。
The soup has no flavor, so how can I drink it?	啲湯冇味道，點飲啊？
The smoke is very thick and makes my eyes smart very badly.	啲煙好大，好揦眼嘅。
Where can I collect the application forms?	啲申請表格喺邊度㗎？
All the boys fixed their gaze on the sexy girl.	啲男仔都𥄫實條索女。
The kids are really too naughty.	啲細蚊仔真係曳得滯。
The kids are here going around in circles.	啲細路仔喺度𠱁𠱁轉。
The kids are here turning around in circles.	啲細路仔喺度𠱁𠱁轉。
The kids love to dive under water.	啲細路仔好鍾意沬水。
All the kids have the mumps.	啲細路仔都生痄腮喇。
These vegetables are really old and tough, so how on earth can anyone eat them?	啲菜老齧齧，點食啊？
The beancurd is too soft and tender, so how can I pick it up?	啲豆腐腍啤啤點攞啫？
Those soldiers are having target practice there.	啲軍佬喺嗰便射緊靶。
Is the food ready yet? It will be ready soon!	啲飯得未啊？就快嘞！
These pieces of bread are awfully hard, so how can I eat them?	啲麵包硬𡃈𡃈點食啊？
Hey you guys! Don't quarrel anymore!	喂！你哋無謂再嘈喇！
Hey, what's with this young tough guy?	喂，呢條𡃁仔乜料啊？
There are three birds up in this tree.	喺呢樖樹上有三隻雀。
In this play she is topless.	喺呢齣戲佢着無上裝。
In Guangzhou you can take the river-boat to Wuzhou.	喺廣州可以搭梧州艔。
In the back lane there is a tobacco and liquor stall.	喺後巷有一間煙酒檔。
In the countryside there are still some peole who graze cattle.	喺鄉下仲有啲人睇牛。
One's belongings can easily be stolen in a Chinese restaurant.	喺酒樓好易俾人掱嘢。
Very few people drive jeeps in Hong Kong.	喺香港好少人揸𡀞車。
Cut a cross on top of the fresh mushroom cap.	喺鮮菇頂度鎅十字花。
That lady has found a wallet.	嗰位阿姐執到個荷包。
That man is someone who really likes to argue.	嗰個人真係個包頂頸。
That man speaks with an effeminate tone of voice.	嗰個人講嘢乸聲乸氣。
That place is extremely impoverished.	嗰個地方窮到冇人有。
That meeting has not been scheduled at present.	嗰個會暫時排唔到期。
That damned guy has come to borrow money from me.	嗰個瘟神嚟問我借錢。
That old man is quite experienced in life.	嗰個老嘢，都幾化嘅。
Those two good-for-nothing young guys fight all the time.	嗰兩條𡃁仔成日打交。
Those young guys are quite lewd.	嗰啲後生仔好鹹濕㗎。
Those boys like to paddle the dragon boats.	嗰啲男仔鍾意扒龍船。
Those bad guys can't provoke me into getting angry.	嗰啲衰仔吹我唔脹喇。
Those cookies were made with a chocolate filling.	嗰啲餅用朱古力做料。
Those twin boys look exactly alike.	嗰對孖仔似到十足十。
That day I was so cold my nipples became stiff.	嗰日我凍到扯𢆡旗㗎。
Where has that chap gone?	嗰條友仔去咗邊度啊？
What were the lottery numbers that were drawn that time?	嗰次攪珠號碼係乜啊？
There is rock blasting over there, so don't go near it.	嗰邊爆石唔好行過去。
That company closed down a long time ago.	嗰間公司執咗好耐啦。
At that time I was living in China.	嗰陣時我喺中國住㗎。
I worked very hard at that time.	嗰陣時捱得幾辛苦啊。
Doing it this way doesn't conform to the rules.	噉做法，唔啱規矩噃。
That's exactly the way it is, I've also said that.	噉唔係，我都話過咯。
It's rare to have such an opportunity as this.	噉嘅機會，有幾何吖。
How dare you say such things!	噉嘅說話你都夠膽講！
Well, I'm afraid you don't have any solution.	噉我驚你都冇辦法㗎。
People like that are really rare indeed.	噉樣嘅人真係少見㗎。
Well you know, this may make things difficult for us.	噉樣我哋好難做個噃。
Speculating in stocks like that can be devastating.	噉樣炒股死得人多咯。
I really can't reconcile myself to the fact that I lost to him in this way.	噉輸畀佢，真係唔𢤹。
Last night I worked overtime till after ten o'clock.	噚晚趕工趕到十點幾。
He was so scared that his face turned pale.	嚇到佢塊面青啤啤噉。
I want a beef chow mein, and make it fast!	嚟個牛肉炒麵，快馬！
Come on, ride on Dad's shoulders.	嚟，坐上老豆膊頭度。
Four quarts equal one gallon.	四個骨等於一個加侖。
Be careful not to get your hand caught and hurt by the car door.	因住俾車門挾親隻手。
Be careful not to step on my foot.	因住唔好踹到我隻腳。
Watch out! The ground is very slippery!	因住啊！地下好滑㗎！
As for infinite greed, that's human nature.	坐一望二，人性嚟嘅。
The one sitting on the side is my older sister.	坐開便嗰個係我家姐。
Joining a large group has more benefits than joining a small group.	埋大堆着數過埋細堆。
Have you finished packing? We've got to go!	執好嘢未啊？較腳喇！
The more you donate, the more glory you will get, yet a small donation is also welcome.	多多益善，少少唔拘。
Come out and fight one-on-one with me if you have the guts!	夠膽就出嚟同我隻揪！
What a mess! I've lost my wallet!	大劑！唔見咗個銀包！
Let's all go and join in the fun.	大家一齊去戥吓興啦。
The same to you, Happy New Year!	大家噉話，新年快樂！
Everyone has already suppressed anger for a very long time.	大家早就掬到一肚火。
Let's all come to play a game together!	大家齊齊嚟玩遊戲吖！
As soon as it turns cold, my body aches.	天一凍身子就唔舒服。
The day has dawned. Hurry up and get up!	天光喇，快啲起身啦！
Even on cold days I take a daily shower.	天冷我都日日沖個涼。
The sky is so dark. I'm afraid it's going to rain.	天咁翳，睇怕要落雨。
The sky is so dark. I'm afraid it's going to rain.	天咁黑，睇怕要落雨。
Typhoon signal number 10 has been hoisted by the Observatory.	天文台掛起十號風球。
Women hope to get married, and the old folks long for grandchildren.	女人恨嫁，老人恨孫。
All right, I'll follow whatever you say.	好啦，你話點就點啦。
There are very many that are all very ugly.	好多都係好肉酸嘅咋。
Luckily the landlord didn't increase my rent.	好彩個業主冇起我租。
Be careful not to fall on the ground!	好聲嘍！因住跌落地！
To patronize prostitutes, gamble, drink hard liquor, loiter, smoke opium, which are the five dissipations.	嫖、賭、飲、蕩、吹。
More and more students are becoming fatties.	學生越嚟越多肥仔嘜。
Sprinkle some ground pepper onto the soup.	審啲胡椒粉喺湯上便。
After writing for the whole night, my eyes feel dry and uncomfortable.	寫咗成晚，對眼好𠲵。
Tip everything out of your bag.	將個袋啲嘢扽晒出嚟。
Put the medicinal tablets into the bottle.	將啲藥片入落個樽度。
Take some eggs and mix them well with the flour.	將啲雞蛋同麵粉撈勻。
Bend the iron wire into a circle.	將條鐵線屈成一個圈。
Roll the fried dumpling in sesame seeds so it's coated and then fry it again.	將煎堆戀層芝麻再炸。
The preceding month I wasn't here.	對上個月我唔喺香港。
The opposing team forced us to adopt a completely defensive play.	對方球員逼我哋閂死。
Be careful! The floor is very slick!	小心！地板好士叻㗎！
Be careful, the dog seems to be mad.	小心，隻狗好似癲嘅。
Do you still want to take a rest, as we're almost there?	就快到喇，你仲灣水？
There's a bar nearby, and it's pretty good.	左近有間吧，幾好㗎。
From time to time the cops may come to inspect things.	差人會時不時嚟巡查。
The cops are coming, so let's hurry up and run away!	差佬嚟喇，快啲趯啦！
The police officer said all of them are pickpockets.	差佬話佢哋都行老文。
Tell him 'thank you' for me.	幫我同佢講聲唔該吖。
Help me get a gun so I can pull a job to get money.	幫我搵枝槍嚟做世界。
Help me take hold of this travel bag.	幫我摵住呢個旅行袋。
Could you take this bag of rice upstairs for me?	幫我摵呢袋米上樓吖！
Please sew the button back on for me.	幫我聯番粒鈕，唔該。
There are about a hundred or so kids in the kindergarten.	幼稚園有百零個細路。
There are over one hundred kids in the kindergarten.	幼稚園有百零個細路。
The few of them crowded together and smoked heroin.	幾個人圍埋一齊𢵌粉。
How much does it cost? Quote me a price for it.	幾多錢？你打個價啦。
Oh no! I've forgotten to bring a pen!	弊喇！唔記得帶筆嚟！
It's better to place the bed at a right angle rather than in a straight position.	張牀打橫放好過打掂。
We're being shadowed by someone behind us.	後便有人吊住我哋尾。
It's okay, please wait for a moment.	得㗎喇，請等一陣啦。
There are just three people, so how can we hold a meeting?	得三丁人，點開會啊？
If you have time, give me a call so we can chat together.	得閒打電話返嚟傾吓。
Hurry and clean up this table.	快啲執拾乾淨呢張枱。
Hurry and find someone to repair the leaking roof for us.	快啲搵人幫我哋執漏。
Quickly finish up and then after you're done you can leave.	快手啲，做完就收工。
Be quicker, and don't waste time.	快手啲，唔好躭時間。
Are you going to dump me and find somebody else?	想飛起我搵第二個呀？
The whole family went to the countryside for a barbecue.	成家人去郊外BBQ。
You're sweating all over, so you better drink some water first.	成身汗噉，飲啖茶先。
There is only one football field for the whole school.	成間學校得一個球場。
As soon as I see him, he makes me feel like vomiting.	我一見佢個樣就作嘔。
As soon as I got up I felt dizzy and feverish.	我一起身就頭暈身㷫。
I can lift you up with one hand.	我一隻手就秤得起你。
I also have come up from Hong Kong.	我亦係喺下底上嚟嘅。
Today I have hiked till my legs are tired.	我今日行山行到腳軟。
Today I have to go to the uni for an examination.	我今日要返U記考試。
I still haven't gone to Ocean Park.	我仲未去過海洋公園。
I still haven't decided what my major is.	我仲未決定屘脽係乜。
I'm unemployed now, and have nothing to do.	我依家失業，冇嘢做。
I'm his business partner.	我係佢生意上嘅啪乸。
I just won't go! So what the hell can you do about it!	我係唔去呀，使死呀？
I won't go, so what can you do to me?	我係唔去啊，你吹咩？
It's true that I framed you, so let's see what you can do to me!	我係明屈你啊，吹咩！
I've searched every drawer already.	我個個櫃桶都搵勻晒。
My bookshelves were filled up long ago.	我個書櫃早就爆晒棚。
I have been doing decoration work for some time and don't want to switch to another line of work.	我做開裝修唔想轉行。
I didn't say much, but let him talk as much as he wanted.	我冇乜出聲，由佢講。
I've never quarreled with my boyfriend.	我冇同男朋友霎過氣。
I never said that I would give you money!	我冇話過會畀錢你喎！
I'll go out to walk around and then come back.	我出去打個唥就返嚟。
I'll go out to walk around and then come back.	我出去打個𡃈就返嚟。
All my homework is completely finished.	我功課冚巴唥做完晒。
All my homework is completely finished.	我功課冚𠾴唥做完晒。
I definitely never thought he would do that.	我勢估唔到佢會噉做。
I was the last one to attend the interview.	我參加面試排最後屘。
I've taken group photos with lots of people.	我同咗唔少人合照過。
All of us went together to eat a hearty meal.	我哋一齊去食餐勁嘅。
Let's play a trick on him together.	我哋不如夾計整蠱佢。
Do we need to go to work today?	我哋今日使唔使返工？
Where shall we go today to hang out?	我哋今日去邊度蒲啊？
Who do we partner together with?	我哋今日孖邊個拍檔？
If we have nothing to eat, we can go beg for food.	我哋冇飯食咪去乞囉。
Let's take off and go somewhere else first!	我哋哨去第二度先啦！
That issue was ultimately settled in our favor.	我哋嗰單嘢卒之打甩。
Our leader can fight very well!	我哋嘅大佬好揪得㗎！
Shall we sit at a table or on banquettes?	我哋坐枱定係坐卡位？
The best thing for us to do is to see which the wind blows and then act.	我哋最好睇定至喐手。
Will we receive commissions or not?	我哋會唔會收回佣啊？
Our company is looking for someone to keep accounts.	我哋本公司搵人劄數。
It'll be faster for us to take a shortcut!	我哋行小路會快啲啦！
We played two ball games in succession.	我哋連氣打咗兩場波。
Whether or not we hold a meeting is not important.	我哋開唔開都冇緊要。
The place opposite from our house is the post office.	我哋間屋對開係郵局。
I'm not as smart as other people.	我唔似人哋咁叻吖嘛。
I'm not very familiar with the snobbish and materialistic girls.	我唔係好識得啲港女。
I'm not very fond of watching TV.	我唔係幾鍾意睇電視。
I believe there is somebody who can get him under control.	我唔信冇人治得到佢。
I still must give some money to the wedding couple even if I don't attend their banquet.	我唔去飲都要做人情。
I don't know how to open this door.	我唔知點樣開呢度門。
How outrageous! You're crazy!	我啋過你，你有病呀！
I have stayed in this industry for more than twenty years.	我喺呢行浸咗廿幾年。
I have been living on Hong Kong Island for more than ten years.	我喺香港島住十幾年。
I've completely finished doing all of my homework.	我嘅功課都攪掂晒喇。
You mean my income? It's just so-so.	我嘅收入？麻麻哋啫。
My way of looking at things is different from yours.	我嘅睇法同你嘅唔同。
I've stayed here for such a long time, it's time for me to go.	我坐咗咁耐，走投喇。
I think I speak loud enough, so I don't need a mike.	我夠大聲，唔使用咪。
All the time my big brother hungers to watch ball games and gamble on them.	我大哥成日都餓波嘅。
I quite want to go to Guilin to sightsee.	我好想去桂林睇風景。
I haven't seen him score for quite a long time.	我好耐冇見過佢士哥。
I'm really hungry, so let's hurry up and eat.	我好肚餓，快啲喫飯。
I'm very hungry, so I'll order more rice.	我好肚餓，要叫加底。
I guarantee he will definitely come.	我寫包單佢一定會嚟。
My helper doesn't need to iron clothes every day.	我工人唔使日日燙衫。
At any time I would say the same thing.	我幾時都係噉講㗎啦。
I've screwed his girlfriend several times.	我幾次同佢條女扑嘢。
Several times I turned on the burner but couldn't get the fire lit.	我幾次撻火都撻唔着。
I had never previously seen them.	我從來都冇見過佢哋。
I have never wanted to see them.	我從來都唔想見佢哋。
I suspect that he's here telling lies.	我思疑佢喺度講大話。
I want to read this book one more time.	我想再讀呢本書一勻。
I want to know what she is thinking about.	我想知佢個心諗緊咩。
I want to buy one fourth of a pound of butter.	我想買一個骨嘅牛油。
I want to buy a transparent plastic file folder.	我想買個透明膠快佬。
I want to buy an exercise bike to lose weight.	我想買部單車機減肥。
I can't get free the whole day because I'm burdened with the kids.	我成日俾細蚊仔陀住。
I can't give up being addicted to playing bridge.	我戒唔甩橋牌嗰鋪癮。
I can't stop being addicted to playing bridge.	我戒唔甩橋牌嗰鋪癮。
I got last place and am bound to be excluded.	我排啦士，實冇份啦。
I'm daring to bet that the Hong Kong team will win for sure.	我敢輸賭香港隊實贏。
I'm most afraid of people asking exorbitant prices.	我最怕俾人開天索價。
I have three rolls of film to develop.	我有三筒菲林要沖晒。
I have been hoping to become rich for an extremely long time.	我望發達望到頸都長。
Every year I will apply fertilizer one time.	我每年都會壅一次肥。
I treat you just like my real brother.	我直情當你兄弟咁滯。
I believe he will help us do it.	我相信佢會幫我哋做。
I see you're happy these several days.	我睇你呢幾日好開心。
I am becoming clumsier as I get older.	我老咗做嘢係論盡啲。
I'll take a long vacation after the examination.	我考完試就會放大假。
I go back to my hometown from time to time.	我耐不耐就返次鄉下。
I go back to my hometown from time to time.	我耐唔耐就返次鄉下。
I hear a knocking sound at the door.	我聽到度門有搉搉聲。
I hear him coughing the whole day.	我聽見佢成日鉗鉗聲。
I'm going to play billiards after work.	我落咗班就去打枱波。
I can't get away so I can't accompany you.	我行唔開，唔陪得你。
I need to catch my breath before I drink some water.	我要唞啖氣先飲啲水。
I need to wear glasses before I can see clearly.	我要戴眼鏡先睇清楚。
I want to think up a way to earn more money.	我要諗辦法賺多啲錢。
I need to go, so let's chat again some other day.	我要走喇，第日傾啦。
I am used to seeing her usual smile.	我見慣佢個例牌笑容。
I said I was not very familiar with this place.	我話依邊我唔係好熟。
I said it's not okay, so it's not okay, and that's that!	我話唔得就唔得係啦！
I think these things are worth letting everyone know about.	我諗呢啲嘢值得貼堂。
I think there are probably around a thousand or so people here.	我諗呢度有千零人啩。
I think doing it in this way is quite good.	我諗噉樣嘅做法幾好。
I think it probably won't rain tomorrow.	我諗聽日唔會落雨啩。
I want him as he is rich and handsome.	我貪佢又有錢又靚仔。
I correctly guessed all the exam questions.	我貼中晒啲考試題目。
I stand on tiptoe and still can't see anything.	我趷起腳都睇唔到嘢。
I stand on tiptoe and still can't see anything.	我趷高腳都睇唔到嘢。
I have given him two neckties.	我送咗兩條領𧘹畀佢。
My notebook computer is more than seven years old.	我部碌卜都成七年幾。
My mother loves to play mahjong.	我阿媽好鍾意打麻雀。
Blisters have formed on my hand.	我隻手都起咗啲水𦢊。
Some blisters have formed on my hand.	我隻手都起咗啲𦢊喇。
I need to save up more money for my old-age retirement.	我需要𢵄多啲錢養老。
The place where I have my lunch is not fixed.	我食晏嘅地方冇時定。
I'm worried that I'll miss the train.	我驚住趕唔切火車啊。
As for table tennis, I don't play as well as he does.	打乒乓波我唔夠佢嚟。
In bowling this person is the best.	打保零球呢個人最好。
Even if you count me, there are only three of us.	打埋我都係得三個咋。
Playing video games is my best way for reducing pressure in my life.	打機係我嘅減壓良方。
What tools does a carpenter use?	抖木佬用啲乜嘢架撐？
As for playing chess, he's quite addicted to it.	捉棋呀，佢好大癮㗎。
Hand in my homework when you hand in yours.	搭手交埋我份功課吖。
It must take an hour before you get there.	搭車要一個鐘頭先到。
We'd better stop to ask a local person for directions.	搵個鄉里問吓路先得。
He's here showing off since he has made a small sum of money.	搵到少少錢就喺度作大
Are you crazy? You scare people to death!	撞鬼你咩？嚇死人嘞！
Put the audiovisual equipment here.	擺啲影音器材喺呢度。
Get a bicycle pump to pump some air.	攞個單車泵嚟泵吓氣。
Clip the papers together with a paper clip.	攞個挾仔挾起啲紙佢。
Help! Someone's chopping a guy!	救命啊！有人劈友啊！
The bride's head was masked with a red cloth.	新娘用紅布摟住個頭。
A while back the rents were not that high.	早一排啲租金冇咁貴。
Let's go hiking on Sunday.	星期日一齊去行山吖。
This time the exhibition of paintings is held in Hong Kong.	是次畫展於香江舉辦。
Fashion design requires being precision-minded.	時裝設計好考心思㗎。
At noon where shall we go to eat?	晏晝我哋去邊度食飯？
It's best to drink a glass of beer.	最好就係飲番杯啤酒。
The moonlit beach is simply beautiful.	月光灣簡直靚到爆燈。
There is one person occupying several places.	有一個人掗住幾個位。
Say whatever you have to say, and don't lie to people!	有乜講乜，咪呃人哋！
We can talk it over, so please don't start hitting anyone!	有事慢慢講，咪喐手！
There are approximately fifty students who will go.	有五十個學生度會去。
There's a man marking off a parking space on the street.	有人喺路上畫個泊位。
Fight with me if you have the guts!	有吉士嘅就同我打過！
Some young gangsters have come to someone's house to collect debts.	有啲古惑仔上門收數。
Some young hooligans watch the movie without paying for tickets.	有啲古惑仔睇霸王戲。
Some classmates quite like to gamble on soccer games.	有啲同學好鍾意賭波。
Some schoolgirls like to smoke cigarettes.	有啲女學生鍾意食煙。
Some Westerners know how to read Chinese characters.	有啲西人識睇中文字。
The cops are coming, so we'd better hurry up and get out of here!	有皇氣啊！快啲散水！
Excuse me, a glass of cola with no ice, please.	杯可樂走雪吖，唔該。
The pen is in the corner of the drawer.	枝筆喺櫃桶嘅角落頭。
As this pencil is very blunt, I'll sharpen it.	枝鉛筆好倔，刨吓啦。
It's necessary to repair the car's automatic transmission.	架車個自動波要整吓。
Where did you get your car repaired?	架車喺邊度修整好㗎？
At the most this bus can only seat ten or so passengers.	架車至多坐十幾個人。
The young loser said he was a triad.	條廢青話自己係陀地。
It's such a short string. Is it long enough to tie it up?	條繩咁長，點夠綁啊？
The string is so short. Is it enough to tie it up?	條繩咁長，點夠綁啊？
The key cannot be inserted into the lock.	條鎖匙𢵌唔入把鎖度。
The bastard is really damn useless!	條雜種仔真係冇𨶙用！
The fish has a slimy coating all over it, so how can I catch it	條魚周身潺，點捉啊？
It's still too early to steam the fish.	條魚幾時得嚟蒸熟㗎。
The fish is quite slippery, so how can I get a hold of it?	條魚滑捋捋，點捉啊？
Eating too many oranges will easily cause phlegm formation.	橙食得多好易惹痰㗎。
Just now someone phoned you.	正話有人打電話畀你。
How awful! I've forgotten to bring some money!	死人啦！唔記得帶錢！
Oh dear! I've lost my key!	死喇！鎖匙唔見咗喇！
Hey punk kid! Are you thinking you can kill me?	死𡃁仔！諗住收我皮！
Every three days I must work the night shift.	每隔三日我都要睇更。
As soon as the balloon is pricked, of course it will pop.	氣球梗係一㧻就爆啦。
The water pipe leaks so that it makes a dripping noise.	水喉漏水漏到嗲嗲聲。
With a snapping sound the string broke in two.	池刷一聲割斷咗條繩。
I was quite calm as the ship was sinking.	沉船嗰陣時我好定㗎。
Are there any soccer players in Shatin who want to play soccer?	沙田有冇波友想打波？
The price of oil has climbed, and so people are taking a wait-and-see attitude about placing buy orders.	油價上揚，買盤觀望。
The boss criticized him very severely.	波士彈佢彈得好犀利。
In terms of color alone, there are more than ten kinds.	淨係顏色就有十幾種。
To make money he carries goods across the border so they can be resold.	為咗賺錢，佢走水貨。
Ordinarily, the manager has no reason not to show up.	照計經理冇理由唔嚟。
In the hot weather she likes to get a suntan.	熱天時佢鍾意曬太陽。
The dentist said to her, "Please close your mouth"	牙醫對佢話，請合埋口
The referee has blown the whistle to end the match.	球證吹雞，賽事結束。
Last night they performed on stage in Macau.	琴晚佢哋喺澳門開騷。
Clean the car with some old clothes.	用啲舊衫抹乾淨架車。
Rub this garment with soap first.	用番梘挼吓呢件衫先。
Could you give me a spoon, please?	畀隻匙羹嚟啊，唔該？
Give me your little hand and I'll wash it clean.	畀隻手仔我就洗乾淨。
You're dreaming! You're really a fool!	發夢啊你！真俾鬼迷！
Taxi-drivers like to honk their horns.	的士司機好鍾意響咹。
Service will be rendered with extra care if you pay first.	相金先惠，格外留神。
It's really true, I can swear an oath.	真係㗎，我可以願誓。
You are dressed up so smartly. Where are you going?	着得咁企理，去邊啊？
Take a look at my pen! Isn't it a nice thing?	睇吓我枝筆，筍嘢咧？
Watch Cantonese opera? He has no interest in it!	睇大戲？佢邊有癮吖？
Keep your eyes on him, and don't let him get away.	睇實佢，唔好畀佢走。
Take it easy, and don't feel so resentful and gloomy.	睇開啲，唔好咁翳氣。
Wait for me to go in before you go in.	等我入去你至跟注入。
Let me sit here and doze for a moment and that'll be fine.	等我坐呢度䁯吓得啦。
Let me eat something to ease my hunger first.	等我食啲嘢頂吓肚先。
I turned the screw till it got stripped smooth of its grooves.	粒螺絲俾我扭到滑牙。
A kid shouldn't become completely in the habit of being picky about what he eats!	細佬哥唔好慣晒擇食！
Young boys shouldn't be so noisily quarrelsome.	細路仔唔好咁吱吒啦。
Uncle has bought a present for you.	罌告買咗份禮物畀你。
Mom is seldom happy like that.	老媽子冇幾何咁開心。
Someone has now got the goods on him.	而家佢俾人揸住痛腳。
Nowadays few people know how to pickle vegetables.	而家好少人識醃鹹菜。
Now I can hear you, so you can speak.	而家收到，你可以講。
Tomorrow is his birthday party.	聽日係佢嘅生日啪T。
Tomorrow I need to go to the hospital to see the doctor.	聽日我要去醫院睇病。
Tomorrow I need to go to the hospital to see the doctor.	聽日我要去醫院睇症。
I heard that she is quite flirtatious.	聽聞佢溝佬好叻㗎喎。
People suffering from stomach-ache should avoid eating cold raw food.	胃痛至棹忌食生冷嘢。
Articles for personal use are not taxed.	自用物品，唔使打稅。
If worse comes to worst, we'll sell the flat.	至多唔係將間屋賣咗。
Last year he went back to the U.S.A. to visit friends.	舊年佢返美國探朋友。
Seating in the ship cabin was filled to capacity and crowded.	船艙入便坐到密質質。
Mango chocolate souffle pie.	芒菓朱古力梳乎厘批。
Sprinkle some salt on the peanuts after they have been well fried.	花生炒熟後再審啲鹽。
Pharmacies have adult diapers for sale.	藥房有成人紙屎片賣。
The screw is completely rusted and extremely tight.	螺絲生晒鍟，梗到死。
You bad guy! Are you trying to sneak on board the bus without paying the fare?	衰仔！想坐霸王車呀？
You bad guy! Are you trying to sneak on board the bus without paying the fare?	衰仔！想搭霸王車呀？
You need to add some corn starch before it's thick enough.	要放啲粟米粉先夠杰。
In my opinion it would be better if you were to stay here.	計我話你都係留低好。
Remember to take the medicine, and take care of your health.	記得食藥，顧住身體。
Remember to take the medicine. Take care of your health.	記得食藥，顧住身體。
Remember to put the cork stopper back in the wine bottle!	記得𣘚返個酒樽𣘚啊！
Stick with this brand and make it your choice.	認住呢個嘜頭至好買。
Associating with bad friends brings dire consequences.	誤交損友，後果嚴重。
Please wait for a moment, as she's still not ready.	請等一陣，佢仲未得。
He's just putting on an act like the cat crying for the mouse.	貓哭老鼠，詐詐諦諦。
Just like the cat cries for the mouse, he's just putting on an act.	貓哭老鼠，詐詐諦諦。
Remember to lock the door securely before leaving.	走之前記得塔實度門。
Let's make a run for it! The cops are coming!	走鬼啊！差佬嚟緊喇！
As for the road conditions, it is difficult to say.	路面嘅嘢，話唔埋㗎。
Don't get off the vehicle before it has stopped moving.	車未停定，咪落車住。
There are so many people waiting in that queue it snakes all the way around.	輪候嘅人多到打蛇餅。
It'll be close to the end of the year before I move house.	近住年尾我先至搬屋。
Nowadays many students have love affairs.	近來好多學生拉手仔。
Lately I've been running so that both legs are quite painful.	近排我跑到對腳好痛。
It's long past the time, and he still hasn't shown up.	過晒鐘嘞，佢仲未到。
If you go out and come here, then visit me and we'll go for dimsum.	過開嚟就搵我飲茶啦。
You dare to fight back? I'll chop off your hand!	還拖？手都斬咗你啊！
Who is being so disgusting to pour water out into the street?	邊個咁衰潑水出街啊？
Who doesn't want to earn more money?	邊個唔想搵多啲錢喎？
Who knows how to do it? Your father, that's who!	邊個識啊？你爸爸囉！
Who's taken away my video game disks?	邊個鼠咗我隻遊戲碟？
After all it's cheaper to eat at home.	都係喺屋企食慳皮啲。
You've become so fat, and you are still so gluttonous.	都咁肥咯你仲咁為食。
Salted dried turnip is a kind of preserved vegetable.	醃蘿蔔干係一種菜脯。
The doctor has just now left to go examine a patient.	醫生啱啱出咗去睇病。
Eating foods with sour taste is appetizing once in a while.	間中食酸嘢好醒胃㗎。
The house has been gorgeously decorated.	間屋裝修到鬼火咁靚。
Why has the room been made so dirty?	間房點解攪到咁嗱喳？
The bank is directly opposite from the subway station entrance.	間銀行對正地鐵站口。
Auntie, when are you coming to see us?	阿姨，幾時嚟探我哋？
Mom, I'm sure that's the way to write it.	阿媽，噉寫實啱㗎喇。
Every day Daddy takes me home after school.	阿爸每日都湊我放學。
Officer, I don't know anything about it.	阿蛇，我乜都唔知㗎。
Let's have a party at my house on New Year's Eve.	除夕嚟我屋企開P啦。
That old hag next door is really sharp-tongued and unreasonable.	隔籬屋個八婆好棖雞。
Next door there are two new buildings.	隔籬有兩躉新嘅大廈。
The rat has gnawed through the leather bag of yours.	隻老鼠嚙穿你個皮袋。
The crab was still alive after its shell had been removed.	隻蟹剝咗殼仲生勾勾。
The crab pinches my toe!	隻蟹鉗住我嘅腳趾喎！
The bird's body is covered all over with oil.	隻雀仔身上黐滿油污。
Eat the banana after you've peeled off the skin.	隻香蕉搣開咗皮至食。
The children whose parents are from mainland China have grabbed up all the school places.	雙非搶晒啲學校位喇。
The TV station called me to go take a screen test.	電視台通知我去試鏡。
You left without turning off the TV!	電視都唔熄就出咗去！
Just now he was bitten by a dog.	頭先佢俾隻狗𪘁一啖。
Just now he grabbed a handful of peanuts and then left.	頭先佢𢲡拃花生就走。
Just now no matter how hard I try I can't get the car started.	頭先架車撻極都唔着。
The wind rustled the leaves.	風吹到啲樹葉啥啥聲。
It's windy, so can you close the window?	風好大，閂埋隻窗門！
Eating shaved ice? Well, that suits me the most.	食刨冰，至啱我㗎喇。
I'm going to eat a pack of instant noodles first so I can bear my hunger.	食包即食麵頂吓肚先。
The food is ready, so everyone please take your seat.	食得嘞，大家埋位啦。
After eating all of this bowl of rice, I feel quite full.	食晒呢碗飯都幾飽肚。
To eat field snails you need to take them out from the shell first.	食田螺要挑開個厴先。
Drink some mung bean cordial, as it tastes good.	飲啲綠豆水，好好味。
This meal cost more than one thousand dollars.	餐飯食咗一千蚊有突。
Family Planning Assoc. of Hong Kong.	香港家庭計劃指導會。
Hong Kong Junior Police Officers Association.	香港警察員佐級協會。
Book of tickets for Hong Kong Disneyland.	香港迪士尼樂園套票。
The Hong Kong team won with a score of three to zero.	香港隊以三比零勝出。
The Hong Kong team is now certain to come in second, and has a chance to become the champions.	香港隊而家坐亞望冠。
Gymnasts have very long legs.	體操選手嘅腳都好長。
Why don't you go shave off that awful beard of yours?	鬍鬚勒特仲唔去剃吓！
When pigs fly I'll love that stupid guy!	鬼鍾意嗰個豬頭丙啊！
After the sliced raw fish has been scalded for a bit, then you can eat it.	魚片滾吓就食得㗎喇。
What about it? Is there any hope this time?	點啊？今次有冇行啊？
